Name,Gender,Department,Salary,Location,Rating
Ches Bonnell,Male,Sales,88050,Lagos,Very Good
Garwin Peasegood,Female,Engineering,68220,Lagos,Good
Sidoney Yitzhok,Female,NULL,118440,Abuja,Not Rated
Saunders Blumson,,Legal,56370,Kaduna,Very Good
Gardy Grigorey,Female,Support,107090,Kaduna,Poor
Marlie Charsley,Male,Support,108450,Abuja,Poor
Adella Hartshorne,Female,Human Resources,41160,Lagos,Average
Rasla Fisby,Male,Legal,109000,Abuja,Very Good
Rayna Gamlin,,Services,,Abuja,Average
Willi Vasey,Female,Support,43020,Kaduna,Average
Selby Hacker,Male,Business Development,37800,Lagos,Average
Stefa Eggleston,Male,Sales,88380,Kaduna,Average
Phylys Benitez,Female,Product Management,84420,Abuja,Average
Ronnie Sinyard,Female,Legal,101760,Abuja,Good
Axel Grigaut,Male,Sales,110780,Abuja,Poor
Timmi Durran,Male,Human Resources,68430,Abuja,Good
Minna Showler,Female,Training,105370,Kaduna,Good
Dyanne Strafen,Male,Engineering,113800,Lagos,Average
Dorolice Farry,Female,Sales,76300,Kaduna,Average
Elliot Tuplin,Female,Sales,44530,Kaduna,Average
Lion Adcock,Female,Legal,63710,Lagos,Average
Vic Radolf,Female,Product Management,62780,Abuja,Very Good
Tiffani Mecozzi,Female,Training,119750,Lagos,Average
Jeane Bermingham,Male,Research and Development,116980,Kaduna,Very Poor
Gavan Puttan,Male,Accounting,35940,Abuja,Good
Danielle Johananoff,Male,Services,109040,Lagos,Average
Rafaelita Blaksland,Female,Services,109160,Kaduna,Good
Brit Hamnett,Male,Human Resources,75540,Abuja,Average
Mable Phythian,Female,Engineering,30000,Kaduna,Average
Joella Maevela,Female,Sales,76210,Abuja,Good
Mollie Hanway,Male,NULL,112650,Lagos,Average
Obidiah Westrope,Male,Legal,108460,Kaduna,Good
Murry Dryburgh,Male,Research and Development,69070,Kaduna,Poor
Abbie Tann,Female,Business Development,116520,Lagos,Good
Aluin Churly,Female,Research and Development,96560,Kaduna,Not Rated
Bennett Gimenez,Female,Human Resources,36460,Abuja,Good
Isa Mogie,Female,Training,50950,Kaduna,Good
Yves Clunie,Female,Marketing,75440,Lagos,Average
Iain Wiburn,Female,Sales,84760,Kaduna,Average
Nonah Bissell,Male,Engineering,82240,Kaduna,Poor
Mendel Gentsch,Male,Human Resources,28330,Lagos,Very Poor
Alfred Peplay,Female,Human Resources,60580,Lagos,Very Good
Adelina Cheeseman,Male,Support,45510,Kaduna,Very Good
Minetta Parsons,Female,Human Resources,110770,Abuja,Good
Hobard Benninger,Female,Product Management,86920,Abuja,Average
